Classification Models – Baseline,,Median (95% Confidence Interval),,,,
Set,Model,Accuracy ,Recall,Precision,F1,Matthews Correlation Coefficient
Training Set (99705 DTIs),Dummy Classifier,0.74 (0.71-0.76),1.00 (1.00-1.00),0.74 (0.71-0.76),0.85 (0.83-0.87),0 (0-0)
Training Set (99705 DTIs),Logistic Regression,0.82 (0.79-0.84),0.93 (0.91-0.95),0.84 (0.81-0.86),0.88 (0.86-0.90),0.49 (0.42-0.55)
Training Set (99705 DTIs),Linear Support Vector Classification,0.82 (0.79-0.84),0.94 (0.92-0.95),0.84 (0.81-0.86),0.88 (0.87-0.90),0.49 (0.42-0.55)
Training Set (99705 DTIs),K-Nearest Neighbour Classifier,1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00)
Training Set (99705 DTIs),Decision Tree Classifier,1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00)
Training Set (99705 DTIs),Random Forest Classifier,1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00)
Training Set (99705 DTIs),Stochastic Gradient Descent Classifier,0.82 (0.79-0.84),0.93 (0.91-0.95),0.84 (0.81-0.86),0.88 (0.87-0.90),0.49 (0.43-0.55)
,,,,,,
,,,,,,
Classification Models – Baseline,,Median (95% Confidence Interval),,,,
Set,Model,Accuracy ,Recall,Precision,F1,Matthews Correlation Coefficient
Test Set (740 DTIs),Dummy Classifier,0.68 (0.64-0.72),1.00 (1.00-1.00),0.68 (0.64-0.72),0.81 (0.78-0.84),0 (0-0)
Test Set (740 DTIs),Logistic Regression,0.73 (0.69-0.77),0.86 (0.83-0.90),0.77 (0.73-0.81),0.81 (0.78-0.84),0.34(0.24-0.43)
Test Set (740 DTIs),Linear Support Vector Classification,0.73 (0.69-0.77),0.87 (0.84-0.91),0.77 (0.72-0.81),0.82 (0.78-0.85),0.34 (0.25-0.43)
Test Set (740 DTIs),K-Nearest Neighbour Classifier,0.75 (0.71-0.79),0.83 (0.79-0.87),0.81 (0.77-0.85),0.82 (0.79-0.85),0.42 (0.33-0.51)
Test Set (740 DTIs),Decision Tree Classifier,0.64 (0.60-0.68),0.71 (0.66-0.76),0.75 (0.70-0.79),0.73 (0.69-0.76),0.19 (0.10-0.28)
Test Set (740 DTIs),Random Forest Classifier,0.75 (0.71-0.79),0.93 (0.90-0.96),0.76 (0.72-0.79),0.84 (0.81-0.86),0.37 (0.28-0.45)
Test Set (740 DTIs),Stochastic Gradient Descent Classifier,0.73 (0.69-0.77),0.86 (0.83-0.90),0.77 (0.73-0.81),0.81 (0.78-0.84),0.33 (0.25-0.42)
