Regression Models – Baseline,,Median (95% Confidence Interval),
Set,Model,Negated Mean Absolute Error,R2
Training Set (10956 DTIs),Dummy Regressor,-2.10 (-2.21 to -2.01),0 (0 to 0)
Training Set (10956 DTIs),Linear Regression,-1.02 (-1.10 to -0.96),0.63 (0.58 to 0.68)
Training Set (10956 DTIs),Linear Support Vector Regression,-1.08 (-1.16 to -1.00),0.61 (0.56 to 0.67)
Training Set (10956 DTIs),K-Nearest Neighbour Regressor,0 (0 to 0),1 (1 to 1)
Training Set (10956 DTIs),Decision Tree Regressor,0 (0 to 0),1 (1 to 1)
Training Set (10956 DTIs),Random Forest Regressor,-0.33 (-0.36 to -0.30),0.95 (0.94 to 0.96)
Training Set (10956 DTIs),Stochastic Gradient Descent Regressor,-0.89 (-0.98 to -0.79),0.53 (0.46 to 0.60)
,,,
,,,
Regression Models – Baseline,,Median (95% Confidence Interval),
Set,Model,Negated Mean Absolute Error,R2
Test Set (95 DTIs),Dummy Regressor,-1.96 (-2.32 to -1.65),-0.03 (-0.43 to 0)
Test Set (95 DTIs),Linear Regression,-3.57 (-4.39 to -2.78),-3.10 (-7.20 to -1.28)
Test Set (95 DTIs),Linear Support Vector Regression,-2.34 (-2.82 to -1.83),-0.70 (-2.49 to -0.01)
Test Set (95 DTIs),K-Nearest Neighbour Regressor,-1.50 (-2.06 to -1.02),-0.17 (-0.60 to 0.22)
Test Set (95 DTIs),Decision Tree Regressor,-3.10 (-3.93 to -2.33),-2.44 (-7.14 to -0.92)
Test Set (95 DTIs),Random Forest Regressor,-2.48 (-2.85 to -2.15),-0.50 (-1.92 to -0.02)
Test Set (95 DTIs),Stochastic Gradient Descent Regressor,-2.40 (-3.05 to -1.87),-0.97 (-2.96 to -0.10)
