Regression Models – Baseline,,Median (95% Confidence Interval),
Set,Model,Negated Mean Absolute Error,R2
Training Set (10956 DTIs),Dummy Regressor,-2.11 (-2.22 to -2.00),0 (0 to 0)
Training Set (10956 DTIs),Linear Regression,-1.02 (-1.10 to -0.95),0.64 (0.58 to 0.69)
Training Set (10956 DTIs),Linear Support Vector Regression,-1.08 (-1.15 to -1.00),0.61 (0.56 to 0.66)
Training Set (10956 DTIs),K-Nearest Neighbour Regressor,0 (0 to 0),1 (1 to 1)
Training Set (10956 DTIs),Decision Tree Regressor,0 (0 to 0),1 (1 to 1)
Training Set (10956 DTIs),Random Forest Regressor,-0.33 (-0.36 to -0.30),0.95 (0.94 to 0.96)
Training Set (10956 DTIs),Stochastic Gradient Descent Regressor,-0.88 (-0.99 to -0.79),0.53 (0.46 to 0.60)
,,,
,,,
Classification Models – Baseline,,Median (95% Confidence Interval),
Set,Model,Negated Mean Absolute Error,R2
Test Set (102 DTIs),Dummy Regressor,-1.98 (-2.32 to -1.71),-0.03 (-0.28 to 0)
Test Set (102 DTIs),Linear Regression,-3.70 (-4.47 to -2.91),-3.27 (-7.79 to -1.40)
Test Set (102 DTIs),Linear Support Vector Regression,-2.34 (-2.88 to -1.85),-0.68 (-2.10 to -0.04)
Test Set (102 DTIs),K-Nearest Neighbour Regressor,-1.53 (-2.11 to -1.05),-0.18 (-0.49 to 0.20)
Test Set (102 DTIs),Decision Tree Regressor,-3.11 (-3.94 to -2.37),-2.32 (-6.20 to -0.83)
Test Set (102 DTIs),Random Forest Regressor,-2.49 (-2.83 to -2.15),-0.47 (-1.92 to 0)
Test Set (102 DTIs),Stochastic Gradient Descent Regressor,-2.49 (-3.14 to -1.90),-1.09 (-2.84 to -0.15)
